类别,id,名称,Owner,类型,描述,git_url,git_branch
AI for Science模型,92,HelixFold3,陈亦奇,蛋白质/生物分子模型,HelixFold3 是面向生物分子复合物结构预测的模型/工具。,hpc_helixfold3,maca-v3.2
AI for Science模型,93,ProtTrans,陈亦奇,蛋白质/生物分子模型,ProtTrans 是蛋白质语言模型集合，用于蛋白序列嵌入和下游预测任务。,hpc_prottrans,maca
AI for Science模型,95,MoFlow,龚佳震,分子模型,MoFlow 是基于流模型的分子图生成模型。,hpc_moflow,maca
AI for Science模型,96,Uni-Mol,龚佳震,分子模型,Uni-Mol 是通用 3D 分子表示学习框架/模型，用于分子性质、构象等任务。,hpc_unimol,maca
AI for Science模型,97,Boltz-2,陈亦奇,分子模型,Boltz-2 是结构与结合亲和力联合预测的生物分子基础模型。,hpc_boltz,maca
AI for Science模型,98,DiffDock,龚佳震,分子模型,DiffDock 是基于扩散模型的分子对接/配体构象预测模型。,hpc_diffdock,maca-1.1.3
AI for Science模型,99,Bonito,龚佳震,基因/组学模型,Bonito 是 Oxford Nanopore 神经网络 basecaller，用于纳米孔测序信号到碱基序列转换。,hpc_bonito,maca
AI for Science模型,100,Cell2location,龚佳震,基因/组学模型,Cell2location 用于空间转录组中细胞类型定位和丰度分解。,hpc_cell2location,maca
AI for Science模型,101,pepper,龚佳震,基因/组学模型,PEPPER/pepper-Margin-DeepVariant 相关基因组变异检测/variant calling 模型。,hpc_pepper,maca
AI for Science模型,102,Evo-2,龚佳震,基因/组学模型,Evo-2 是大规模生物/基因组基础模型，用于 DNA/RNA/蛋白相关序列建模。,hpc_evo2,maca-0.5.0
AI for Science模型,103,basenji2,龚佳震,基因/组学模型,basenji2 是基于深度学习的基因组序列功能预测模型，用于预测调控/表达相关信号。,hpc_basenji2,maca
AI for Science模型,104,SpaGCN,龚佳震,基因/组学模型,SpaGCN 是空间转录组图卷积网络，用于空间域识别和基因表达分析。,hpc_spagcn,maca
AI for Science模型,105,ai-models,李震坤,气象/气候模型,ECMWF ai-models 工具/模型集合，支持 AIFS、Aurora、FengWu、FourCastNet、FuXi、GenCast、GraphCast、Pangu-Weather 等气象模型。,hpc_AIModels,maca
AI for Science模型,106,NowcastNet,李震坤,气象/气候模型,NowcastNet 是结合物理约束和深度学习的降水临近预报模型。,hpc_nowcastnet,maca
AI for Science模型,107,NeuralGCM,李震坤,气象/气候模型,NeuralGCM 是将机器学习与大气动力学结合的神经通用环流模型，用于天气和气候模拟。,hpc_neuralgcm,maca
AI for Science模型,108,Earth-2,李震坤,气象/气候模型,NVIDIA Earth-2 是面向天气与气候 AI 的平台、开放模型、库和框架集合。,hpc_earth-2,maca
AI for Science模型,109,DeepCFD,刘玉春,CFD模型,DeepCFD 是基于深度学习的 CFD 替代/流场预测模型。,hpc_deepcfd,maca
